,,Spend,Spend,Spend,Spend,Spend,Gross CPA,Gross CPA,Gross CPA,Gross CPA,Gross CPA,NET CPA,NET CPA,NET CPA,NET CPA,NET CPA
CATEGORY,SUB_CATEGORY,OCT25_CD_SPEND,NOV25_CD_SPEND,DEC25_CD_SPEND,JAN26_CD_SPEND,FEB26_CD_SPEND,OCT25_GrossCPA,NOV25_GrossCPA,DEC25_GrossCPA,JAN26_GrossCPA,FEB26_GrossCPA,OCT25_NET_CPA,NOV25_NET_CPA,DEC25_NET_CPA,JAN26_NET_CPA,FEB26_NET_CPA
Educational Instruction and Library Occupations,"Life Sciences Teachers, Postsecondary",0,135,0,64,241,,15.03,,9.18,15.06,,7.36,,4.5,7.26
Educational Instruction and Library Occupations,"Math and Computer Science Teachers, Postsecondary",618,1167,1541,1108,485,15.84,11.56,12.32,14.58,15.63,11.45,7.21,7.68,6.7,7.12
Educational Instruction and Library Occupations,Miscellaneous Educational Instruction and Library Workers,0,549,1243,1752,667,,12.76,5.73,14.02,13.08,,6.25,3.7,6.99,6.32
Educational Instruction and Library Occupations,Miscellaneous Postsecondary Teachers,603,680,496,894,1510,27.39,22.68,19.83,33.12,12.9,23.49,18.74,6.64,28.01,8.95
Educational Instruction and Library Occupations,Miscellaneous Teachers and Instructors,0,0,0,0,0,,,,,,,,,,
Educational Instruction and Library Occupations,"Physical Sciences Teachers, Postsecondary",6,0,1,1,0,,,,,,,,,,
Educational Instruction and Library Occupations,Preschool and Kindergarten Teachers,137,112,64,85,13,136.82,,64.26,,,78.8,,56.68,,
Educational Instruction and Library Occupations,Secondary School Teachers,1,115,172,174,741,,6.07,7.18,10.85,12.77,,2.98,3.61,5.35,6.16
Educational Instruction and Library Occupations,Self-Enrichment Teachers,4,28,94,67,63,,,,33.66,3.95,,,,16.42,3.93
Educational Instruction and Library Occupations,"Social Sciences Teachers, Postsecondary",23,763,1251,495,625,,16.58,15.25,15.47,23.15,,10.27,10.99,5.34,9.75
Educational Instruction and Library Occupations,Special Education Teachers,31167,15051,21353,13805,13793,14.79,12.41,16.87,13.51,13.82,7.38,6.13,8.43,6.63,6.67
Educational Instruction and Library Occupations,"Substitute Teachers, Short-Term",0,0,1,0,0,,,,,,,,,,
Educational Instruction and Library Occupations,Teaching Assistants,2933,2398,1577,1634,552,14.03,10.07,10.05,10.09,9.2,7.02,5,5.12,5.22,4.8
Educational Instruction and Library Occupations,Tutors,338,667,1274,95,212,30.7,18.52,24.5,13.64,13.28,22.27,14.3,20.55,6.82,4.26
"Farming, Fishing, and Forestry Occupations",Animal Breeders,0,0,0,0,17,,,,,17.1,,,,,8.55
"Farming, Fishing, and Forestry Occupations","First-Line Supervisors of Farming, Fishing, and Forestry Workers",72,19,10,38,34,36.22,18.53,,19.19,34.05,18.56,18.1,,7.94,11.49
"Farming, Fishing, and Forestry Occupations",Forest and Conservation Workers,15,6,36,27,3,,,,,,,,,,
"Farming, Fishing, and Forestry Occupations","Graders and Sorters, Agricultural Products",0,0,0,3,0,,,,,,,,,,
"Farming, Fishing, and Forestry Occupations",Logging Workers,6,1,9,24,88,,,,11.83,6.76,,,,10.4,6.32
"Farming, Fishing, and Forestry Occupations",Miscellaneous Agricultural Workers,17,134,792,934,792,8.6,33.39,44,17.3,21.42,8.14,28.86,19.56,8.13,8.94
Food Preparation and Serving Related Occupations,Bartenders,4,1,646,857,2846,,,9.1,7.46,15.06,,,4.36,3.09,7.02
Food Preparation and Serving Related Occupations,Cooks,26516,22816,17143,22916,20345,35.64,21.98,38.44,53.29,51.9,20.29,14.06,20.35,34.78,33.99
Food Preparation and Serving Related Occupations,Dining Room and Cafeteria Attendants and Bartender Helpers,801,784,644,1839,1520,8.01,6.88,10.74,15.32,13.57,4.07,3.56,5.21,6.38,8
Food Preparation and Serving Related Occupations,Dishwashers,4293,4939,1676,2051,1769,14.96,10.23,5.72,5.89,5.67,5.4,4.51,1.95,2.03,1.8
Food Preparation and Serving Related Occupations,Fast Food and Counter Workers,108314,107188,89422,77139,70149,55.49,39.98,92.86,127.08,119.1,35.4,24.59,48.02,93.83,81.16
Food Preparation and Serving Related Occupations,Food Preparation Workers,27,249,17,29,24,27.3,,,9.56,24.36,23.01,,,7.55,14.04
Food Preparation and Serving Related Occupations,"Food Servers, Nonrestaurant",14,110,26,7,4,13.56,0.82,26.3,1.84,,13.14,0.8,22.66,1.53,
Food Preparation and Serving Related Occupations,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",1,3,25,12,22,,,5.05,1.99,10.94,,,4.07,1.59,10.34
